English,Indonesia
leave,berangkat
does,Apakah
money,uang
around,sekitar
doesn,tidak
name,Nama
place,tempat
ever,pernah
feel,merasa
guys,Orang
father,ayah
guy,cowok
made,berbuat
old,tua
isn,Bukankah
which,yang mana
big,besar
lot,banyak
done,selesai
hello,Halo
nice,Bagus
believe,percaya
girl,Gadis
someone,seseorang
fine,ujung
thanks,Terima kasih
wanted,Ingin
kind,jenis
coming,kedatangan
house,rumah
every,setiap
ok,Oke
through,melalui
being,makhluk
course,kursus
stay,tinggal
left,Kiri
dad,Ayah
enough,cukup
happened,Terjadi
came,Datang
may,Mei
mother,ibu
wrong,salah
world,dunia
bad,Buruk
might,kuasa
three,Tiga
today,Hari Ini
listen,mendengarkan
another,lain
understand,mengerti
hear,dengar
remember,ingat
ask,minta
own,memiliki
same,sama
show,memperlihatkan
else,lain
kill,bunuh
talking,Berbicara
found,Ditemukan
next,depan
getting,Mendapatkan
care,peduli
car,mobil
looking,Melihat
son,bunyi
try,coba
woman,wanita
went,Pergi
hi,Hai
dead,mati
many,banyak
mind,pikiran
wasn,adalah
friend,teman
best,terbaik
mom,ibu
hell,neraka
morning,Pagi
trying,Mencoba
boy,Anak laki-laki
together,bersama
yourself,dirimu
job,pekerjaan
saw,gergaji
family,keluarga
real,nyata
without,tanpa
baby,bayi
wouldn,akan
already,sudah
move,bergerak
most,paling
seen,Melihat
live,hidup
miss,nona
actually,sebenarnya
huh,ya
shit,tahi
both,keduanya
heard,Mendengar
once,sekali
ready,siap
head,kepala
called,disebut
used,Digunakan
idea,ide
knew,Tahu
hold,pegang
happy,Bahagia
door,melalui
such,demikian
fuck,ngentot
brother,saudara
also,juga
pretty,Ayu
bit,sedikit
took,Mengambil
haven,Haven
yet,masih
men,Pria
whole,seluruh
start,mulai
use,pakai
while,sambil
since,sejak
wife,istri
days,Hari
guess,menebak
tomorrow,besok
matter,masalah
meet,bertemu
bring,membawa
tonight,malam ini
everyone,Orang
run,lari
wanna,Ingin
hard,keras
ah,Ah
alone,sendiri
myself,diriku
school,sekolah
gone,hilang
um,di
end,ujung
saying,pepatah
phone,Ponsel
play,bermain
looks,Terlihat
couldn,tidak bisa
fucking,sialan
problem,masalah
few,sedikit
friends,Teman
gotta,Harus
ago,lalu
open,buka
anyone,siapa saja
killed,terbunuh
hope,berharap
until,sampai
lost,hilang
police,polisi
excuse,alasan
turn,belok
business,bisnis
case,perkara
wants,Ingin
says,Mengatakan
TRUE,BENAR
die,si
heart,jantung
soon,segera
each,setiap
worry,khawatir
later,nanti
year,tahun
watch,menonton
music,musik
hand,tangan
having,Memiliki
probably,barangkali
beautiful,Cantik
doctor,dokter
sit,duduk
eat,makan
thinking,pikiran
young,muda
second,kedua
working,Bekerja
water,Air
person,orang
part,.part
kids,Anak
late,terlambat
stuff,Hal
exactly,persis
under,di bawah
death,kematian
minute,menit
pay,membayar
crazy,Gila
forget,lupa
everybody,Semua
kid,anak
change,ubah
gave,Memberikan
happen,terjadi
damn,sial
five,Lima
drink,minum
far,jauh
knows,Tahu
its,dia
whatever,Apa pun
eyes,mata
shut,menutup
aren,Aren
hit,pukul
taking,Mengambil
easy,mudah
times,kali
check,periksa
hands,tangan
minutes,Menit
deal,Kesepakatan
different,beda
means,sarana
point,ujung
inside,dalam
makes,Membuat
asked,Bertanya
somebody,seseorang
mine,tambang
making,Membuat
body,badan
afraid,takut
sleep,tidur
chance,kesempatan
dear,sayang
quite,cukup
four,Empat
anyway,Anyway
close,tutup
ain,Ain
party,pesta
fun,menyenangkan
against,melawan
word,kata
comes,Datang
important,penting
set,mengeset
shall,akan
story,cerita
number,angka
daughter,anak perempuan
least,paling
waiting,Menunggu
hurt,sakit
wish,mau
moment,saat
fight,berkelahi
week,minggu
husband,suami
girls,Gadis
rest,istirahat
married,Menikah
fire,Kebakaran
game,permainan
nobody,Tak seorang pun
mr,bapak
children,anak
side,samping
stand,berdiri
read,membaca
though,meskipun
cut,memotong
started,Mulai
sister,saudara perempuan
supposed,Seharusnya
between,antara
child,anak
goes,Pergi
hours,Jam
speak,berbicara
women,Perempuan
behind,belakang
almost,hampir
truth,kebenaran
blood,darah
able,sanggup
lady,wanita
anymore,lagi
playing,Bermain
gets,Mendapat
shot,Ditembak
reason,alasan
trouble,susah
break,pecah
war,Adalah
city,kota
walk,jalan
town,kota
trust,percaya
dr.,dr.
met,dengan
office,kantor
question,pertanyaan
brought,Membawa
yours,Anda
welcome,Selamat datang
high,tinggi
wow,Wow
couple,pasang
half,setengah
died,Meninggal
cool,sejuk
free,bebas
either,Baik
seems,Tampaknya
power,kuasa
whoa,Whoa
bye,Dah
buy,membeli
telling,Mengatakan
honey,madu
tried,Mencoba
front,depan
team,tim
answer,menjawab
gun,senapan
boys,Boys
line,garis
send,kirim
news,berita
stupid,Bodoh
bed,tempat tidur
hurry,cepat
full,penuh
months,Bulan
save,simpan
sometimes,kadang-kadang
become,menjadi
along,melewati
hate,benci
food,makanan
outside,luar
light,ringan
l,l
needs,Kebutuhan
dog,anjing
country,negara
clear,jelas
order,perintah
em,di
fact,fakta
